Rank,Name,Ticker,Market cap,Price,Circulating supply,id
9,Polygon,MATIC,5705449961.976695,0.6137849203552015,9279469069,matic-network
22,Uniswap,UNI,3408510528.131619,4.521186781254822,577501036,uniswap
24,OKB,OKB,2506413525.6048684,41.78186796625303,60000000,okb
32,Lido DAO,LDO,1572421799.3057024,1.7876397051385509,879303684,lido-dao
37,Arbitrum,ARB,1267919758.8390014,0.9923239735731724,1275000000,arbitrum
39,ApeCoin,APE,777710861.8145347,2.108461945114195,368593750,apecoin
42,The Graph,GRT,920692214.873432,0.10218689399230298,8987868579,the-graph
44,Fantom,FTM,765987202.7165235,0.27373789492512,2788596086,fantom
45,Rocket Pool,RPL,802945240.59644,41.221519532625805,19401717,rocket-pool
46,The Sandbox,SAND,723024636.8881534,0.38865872797175693,1853581926,the-sandbox
47,BitDAO,BIT,608766353.7231795,0.41852897975780323,1843669853,bitdao
50,Aave,AAVE,737267093.4921072,51.061499944090926,14396373,aave
51,Decentraland,MANA,621998061.2096604,0.3408543031495044,1878271532,decentraland
52,Render Token,RNDR,770012005.4908087,2.086918656277025,366378124,render-token
57,Axie Infinity,AXS,567063574.3934324,4.904200994064133,116956335,axie-infinity
62,Curve DAO Token,CRV,529062586.1657222,0.6195386367002357,818252813,curve-dao-token
64,Immutable,IMX,656346838.748433,0.6307875334760786,914163546,immutable-x
67,Maker,MKR,602500507.0196652,668.3376147990784,977631,maker
68,Synthetix,SNX,594179669.4939826,1.8608931505977913,259294010,havven
77,Injective,INJ,505252848.57596856,6.315147840493121,80005555,injective-protocol
82,Frax Share,FXS,403177007.20954216,5.560168853088931,72157081,frax-share
88,XDC Network,XDC,450476634.5870008,0.03252356629643713,13837362011,xdce-crowd-sale
92,WOO Network,WOO,317866127.77522635,0.1858686125332724,1694310805,woo-network
93,Nexo,NEXO,338388864.7931545,0.6042719633831283,560000011,nexo
96,PancakeSwap,CAKE,297643446.02693725,1.4256998121380973,200954977,pancakeswap-token
97,Mask Network,MASK,296821806.78445834,3.6129055338096228,80125000,mask-network
98,Convex Finance,CVX,264960396.01961097,3.395106293802274,77340987,convex-finance
101,dYdX,DYDX,277351409.24104947,1.6954257089235532,156256174,dydx
103,1inch Network,1INCH,257487163.68935996,0.2765455108341723,816008615,1inch
107,Gnosis,GNO,278151361.88060224,107.553420380578,2589588,gnosis
110,Ethereum Name Service,ENS,202012285.09547755,7.8299478232628354,28551351,ethereum-name-service
114,Balancer,BAL,184434527.1559355,4.433507964305391,49563544,balancer
119,Ankr,ANKR,163764808.42630866,0.020075694423796447,10000000000,ankr
120,Audius,AUDIO,185633026.08608627,0.1764576624319139,1045289093,audius
124,Solar,SXP,188243491.12863812,0.3313163840798353,565162318,swipe
125,ssv.network,SSV,123618094.43589096,17.442211160317363,10000000,ssv-network
127,STEPN,GMT,191947659.98822796,0.20133231787355169,861864536,stepn
132,Blur,BLUR,244612471.18641138,0.35143661476852006,473635265,blur
134,yearn.finance,YFI,189775569.83369413,5746.751768644393,32979,yearn-finance
140,Gala,GALA,567273152.6622165,0.02336620004355123,6977205436,gala
142,SushiSwap,SUSHI,115489986.5383454,0.5993795040315113,230309879,sushi
143,Ocean Protocol,OCEAN,144547057.9102157,0.3330691280094002,613099141,ocean-protocol
144,Fetch.ai,FET,204743538.87739086,0.1967019139330242,819868037,fetch-ai
145,DAO Maker,DAO,139998745.84747478,0.8367251040745892,143942531,dao-maker
146,MAGIC,MAGIC,156357352.5140642,0.7206283562117589,215152783,magic
148,0x Protocol,ZRX,151696679.1699256,0.17888820415096082,847496055,0x
150,Band Protocol,BAND,136190319.08820772,1.072897841389744,125820931,band-protocol
157,aelf,ELF,121165532.61292909,0.2625510942990477,612328129,aelf
