Rank,Name,Ticker,Market cap,Price,Circulating supply,id
13,Polygon,MATIC,6176611909.316837,0.8305229094348694,8035303935,matic-network
16,Uniswap,UNI,4543186169.515078,6.030038463664074,745442706,uniswap
35,Decentraland,MANA,1367938406.6182919,0.7540483441003569,1852425797,decentraland
36,ApeCoin,APE,1773049873.031592,5.629211885801261,306875000,apecoin
37,The Sandbox,SAND,1368690147.4776907,0.9145931400076687,1354060208,the-sandbox
40,Axie Infinity,AXS,1189128517.184792,13.208809255594984,83814074,axie-infinity
42,Aave,AAVE,1149588059.0669696,81.6252840737767,13987699,aave
46,OKB,OKB,3961122241.4425764,15.744986135865597,60000000,okb
53,Maker,MKR,619823701.191054,687.6418842058536,977631,maker
54,Fantom,FTM,642141607.4878417,0.2527755156461745,2545006273,fantom
56,The Graph,GRT,808213868.7738851,0.10924284969600759,6900000000,the-graph
60,Celsius,CEL,668678087.3919023,1.5839697613003598,238863520,celsius-degree-token
63,Lido DAO,LDO,1197014953.4946454,1.9027601310293827,312951154,lido-dao
67,Curve DAO Token,CRV,423780047.3934801,1.0825181721654875,527558004,curve-dao-token
68,PancakeSwap,CAKE,622686905.0196754,4.369154806076506,164327073,pancakeswap-token
78,STEPN,GMT,407943367.8878735,0.6803523529351437,600000000,stepn
79,Nexo,NEXO,520493185.17750394,0.9317019381261563,560000011,nexo
85,Gala,GALA,370352244.5488427,0.04913070409680564,6977205436,gala
88,1inch Network,1INCH,368529052.2292212,0.6298309639526518,571760977,1inch
89,Gnosis,GNO,355386382.85749125,137.79452563056424,2579588,gnosis
92,Convex Finance,CVX,334072013.99311334,4.866370551459913,66661483,convex-finance
94,Ankr,ANKR,283523145.0998769,0.034741154063656375,9662899378,ankr
97,XDC Network,XDC,362553761.99078494,0.02630060532604412,12305012699,xdce-crowd-sale
98,Synthetix,SNX,651200819.2756855,2.739637197563108,114841533,havven
101,yearn.finance,YFI,294581148.0188991,9366.959129176432,36638,yearn-finance
114,0x,ZRX,247210273.73662576,0.2915949663020923,847496055,0x
116,Reserve Rights,RSR,251451994.96128267,0.005950134010232846,42302323974,reserve-rights-token
117,Audius,AUDIO,207723740.07646814,0.2519006521098045,818441374,audius
119,Ethereum Name Service,ENS,374882636.24783176,14.545131115939984,20244862,ethereum-name-service
120,Kyber Network Crystal v2,KNC,195110889.40692472,1.905939579306063,177809350,kyber-network-crystal
122,Balancer,BAL,217441349.03654125,6.016625468321996,42801984,balancer
123,Livepeer,LPT,252004546.34513146,9.618342503527094,24408104,livepeer
127,Serum,SRM,301159601.3197918,0.8075273410665902,263244669,serum
133,Immutable X,IMX,191066541.37444332,0.8111043754331461,235284001,immutable-x
136,WOO Network,WOO,173659206.3810884,0.15079250081237444,1143000230,woo-network
139,SXP,SXP,178570795.05687585,0.35911636153710924,494184383,swipe
140,UMA,UMA,179474949.87888038,2.6030197897659355,68715405,uma
141,Smooth Love Potion,SLP,146910439.6733447,0.0036795844899178663,43225533346,smooth-love-potion
143,Polymath,POLY,200547905.34567922,0.22268531659018923,924998413,polymath
148,SwissBorg,CHSB,166197972.8757845,0.1747366277194336,1000000000,swissborg
151,SushiSwap,SUSHI,227668437.4554194,1.1799776656537484,127244443,sushi
154,Render Token,RNDR,144745708.25369054,0.48234203039235574,253798860,render-token
163,DAO Maker,DAO,185287446.9012681,1.6518546579285982,83510300,dao-maker
166,ConstitutionDAO,PEOPLE,106999793.60771649,0.0211054735186967,5060137335,constitutiondao
168,dYdX,DYDX,176913300.95797396,1.4047855952106567,65569295,dydx
171,Orbs,ORBS,106686901.48969884,0.03625423654620218,2876767039,orbs
173,Spell Token,SPELL,122520202.7468205,0.0012102053336700488,97576817835,spell-token
174,API3,API3,101999392.24338068,1.6066914921072477,56547601,api3
176,Rally,RLY,87158603.48385791,0.02641281732005669,3143320735,rally-2
177,Request,REQ,87214060.82235572,0.11269680417859106,999830316,request-network
181,Ocean Protocol,OCEAN,70088700.32001656,0.16132709395739517,613099141,ocean-protocol
188,Bancor,BNT,93809657.38105339,0.47678472645017195,209118885,bancor
190,Status,SNT,122761615.29636955,0.031157247780079687,3470483788,status
193,Chromia,CHR,95804898.14512387,0.17055561379351628,567369439,chromaway
194,Injective,INJ,123586104.53998679,1.6933998276186144,65005554,injective-protocol
210,BitDAO,BIT,581140692.7316586,0.54083437044489,2030790177,bitdao
216,NXM,NXM,323656447.34190464,47.708348956132745,6553391,nxm
220,GensoKishi Metaverse,MV,26052324.971028905,0.21588847352143614,1709312901,gensokishis-metaverse
223,Rocket Pool,RPL,498314655.8093246,26.595100871446483,10279742,rocket-pool
232,MetisDAO,METIS,109506748.29730959,25.11336288152198,4383253,metis-token
251,Project Galaxy,GAL,96356028.09248383,2.668288620738597,35161333,project-galaxy
257,ssv.network,SSV,93910172.70975283,13.491751778295198,10000000,ssv-network
261,Stratis,STRAX,80896883.67570065,0.5737400360889663,139950009,stratis
265,Frax Share,FXS,385522416.94004095,5.340003854916574,16209405,frax-share
272,aelf,ELF,64041152.625153534,0.13895603451418956,544480200,aelf
280,Bifrost,BFC,71529827.83459409,0.06688917675262297,1070413399,bifrost
288,Maple,MPL,135729342.80720717,21.777437115355816,4417986,maple
291,STP,STPT,75248830.65023942,0.04575605173298001,1648670278,stp-network
292,Perpetual Protocol,PERP,43478238.82340563,0.618199519350443,90775000,perpetual-protocol
293,Reef,REEF,112067469.79601948,0.0055946815440445635,19886746090,reef
294,Boba Network,BOBA,96090557.47229584,0.31707434132273343,171624232,boba-network
297,Persistence,XPRT,73976441.4728229,0.612806076490358,117124196,persistence
299,Origin Protocol,OGN,80253579.01625335,0.15964965129835526,388570733,origin-protocol
300,Yield Guild Games,YGG,83304219.2852658,0.44852701837806475,116331159,yield-guild-games
301,Ampleforth Governance Token,FORTH,41852131.3474906,4.833962959572986,15297897,ampleforth-governance-token
302,Liquity,LQTY,67939656.22782992,0.8260769849359695,80309351,liquity
305,Alien Worlds,TLM,70802911.2879844,0.023476102550788375,2611487653,alien-worlds
313,Dawn Protocol,DAWN,62026159.365105666,0.8328836545267826,74464266,dawn-protocol
314,Aragon,ANT,70078151.99170786,1.7505216527846994,39609523,aragon
319,NKN,NKN,61736852.82296197,0.09499098802504491,700000000,nkn
323,QuarkChain,QKC,91792881.53273264,0.01358406832390406,6399906497,quark-chain
326,Rari Governance Token,RGT,41286550.8822372,3.668246636733772,12471972,rari-governance-token
327,Strike,STRK,59819477.06853722,17.868756513948153,3313434,strike
