Rank,Name,Ticker,Market cap,Price,Circulating supply,id
27,Maker,MKR,498019817.2501137,548.8536319534916,1005577,maker
38,OKB,OKB,1640017245.671034,5.9571668657129075,60000000,okb
42,Synthetix Network Token,SNX,693070756.1101413,5.230489001407553,187837136,havven
45,0x,ZRX,307606023.0844488,0.4142749330513736,655491538,0x
49,Aave,LEND,81888305.55064195,0.7045684670946796,1299999942,ethlend
78,Nexo,NEXO,138593371.40119034,0.2473967717354696,560000011,nexo
79,ZB Token,ZB,45628964.22085331,0.28798964397657684,463288810,zb-token
85,SwissBorg,CHSB,108169117.40250418,0.11700903176982302,710544983,swissborg
91,Status,SNT,120679356.89923726,0.031001318095620317,3470483788,status
94,Divi,DIVI,71736384.55889538,0.035899527320660145,1743080869,divi
101,Matic Network,MATIC,93782431.12422067,0.019743967079452845,3485612413,matic-network
105,Bytom,BTM,115976656.04231398,0.07093703875172298,1097263469,bytom
111,Celsius,CEL,876698316.246538,2.3104018451225428,238863520,celsius-degree-token
119,Unibright,UBT,48989914.35084028,0.3502705738159404,148594999,unibright
123,Decentraland,MANA,115259891.5664277,0.08624053470754296,1368880276,decentraland
124,Bancor,BNT,97635837.27264267,1.1662900618366225,69148554,bancor
128,aelf,ELF,46021885.088193,0.10025694904625634,544480200,aelf
154,Aragon,ANT,119719744.61283274,3.472692432458099,31480881,aragon
178,Reserve Rights,RSR,224951687.17459485,0.023998749386414234,6849999000,reserve-rights-token
179,Swipe,SXP,86966071.1673964,1.1336483485731113,65982752,swipe
180,Gnosis,GNO,71095994.28720032,64.7378281654782,1104590,gnosis
191,Polymath,POLY,45743457.70637277,0.06270443349061057,514270098,polymath
201,Band Protocol,BAND,163118217.22799748,7.2186001963766655,20494033,band-protocol
212,Ocean Protocol,OCEAN,194587175.21391362,0.5631141745233817,335563981,ocean-protocol
217,Fetch.ai,FET,40184143.43129624,0.05835557779632054,735815356,fetch-ai
224,Origin Protocol,OGN,23737796.276100658,0.1512506183094292,69867334,origin-protocol
239,Populous,PPT,8941067.799438614,0.24734353254184271,53252246,populous
242,Rocket Pool,RPL,50593950.65618266,3.1992347413577398,10279742,rocket-pool
243,IDEX,IDEX,23174863.59209946,0.04298283527976276,507461795,aurora-dao
267,Request,REQ,19610042.623851594,0.025526823871551696,784410186,request-network
268,Ankr,ANKR,54343049.93394296,0.009376841216067803,5162899378,ankr
270,Melon,MLN,32780784.5867742,27.374751856854235,1250000,melon
280,Fantom,FTM,50617933.574528664,0.019945333433009933,1813658595,fantom
284,NKN,NKN,13418526.685724095,0.020647001608448033,466666666,nkn
291,The Force Protocol,FOR,20276205.364093486,0.02287718080711202,311488081,force-protocol
313,QuarkChain,QKC,29026381.328932624,0.004958666901517766,1687951805,quark-chain
316,Chromia,CHR,12235481.403271286,0.02741623535630228,326392548,chromaway
323,Mainframe,MFT,20928205.892104685,0.002219329335760359,9516264987,mainframe
327,Standard Tokenization Protocol,STPT,14672787.663898371,0.01609694702092931,704634235,stp-network
336,AdEx,ADX,30355944.614024922,0.2879975690876435,86782826,adex
351,Kleros,PNK,52123852.743691035,0.0997666154035403,460681010,kleros
