Rank,Name,Ticker,Market cap,Price,Circulating supply,id
23,OKB,OKB,12201913988.625412,49.491590283308746,60000000,okb
8,Polygon,MATIC,10195528387.433098,1.1262415414158302,8734317475,matic-network
18,Uniswap,UNI,4634742405.97019,6.151329689500814,762209327,uniswap
29,Lido DAO,LDO,2162861350.074656,2.547606722268879,846657894,lido-dao
36,ApeCoin,APE,1747698975.1699312,4.741779620845471,368593750,apecoin
40,The Graph,GRT,1248344316.1495566,0.14168918785462026,8822212307,the-graph
51,The Sandbox,SAND,1124670460.1254964,0.6208986232845777,1499470108,the-sandbox
41,Fantom,FTM,1113658070.451289,0.4010400221934428,2776084868,fantom
45,Decentraland,MANA,1055697137.3014814,0.5797842297659279,1855084192,decentraland
48,Aave,AAVE,1077853012.082178,75.42474082837411,14093193,aave
50,Axie Infinity,AXS,1014425890.3442744,8.791744785295865,111752500,axie-infinity
55,Rocket Pool,RPL,752010869.3295286,39.176081450694326,19113413,rocket-pool
64,ImmutableX,IMX,841966114.5310447,0.991514435014078,825480569,immutable-x
76,Synthetix,SNX,906000644.4693953,2.8756280930516622,252896702,havven
67,PancakeSwap,CAKE,702751906.1734779,3.8023541842825477,190875401,pancakeswap-token
66,Frax Share,FXS,722139695.1650215,9.701267352279082,74329849,frax-share
46,BitDAO,BIT,649545024.7719063,0.514499100923598,2090946169,bitdao
69,Curve DAO Token,CRV,686667119.4074361,0.9092943544687697,730318525,curve-dao-token
68,Maker,MKR,773806446.1465875,857.5866782714639,977631,maker
91,1inch Network,1INCH,431648607.37675065,0.5200292504591867,792572650,1inch
119,Fetch.ai,FET,449082668.64884037,0.4304377892739496,818912300,fetch-ai
95,Convex Finance,CVX,438035484.9358018,5.837188491167609,74914688,convex-finance
92,dYdX,DYDX,362124670.38082916,2.3866620462895742,156256174,dydx
108,Render Token,RNDR,371074209.7949345,1.2389173482383042,253798860,render-token
101,Nexo,NEXO,366961481.79126734,0.6551439675000647,560000011,nexo
128,Ethereum Name Service,ENS,361019013.9105548,14.013679781482706,20244862,ethereum-name-service
113,XDC Network,XDC,412265246.28646225,0.029813657765174365,13817979058,xdce-crowd-sale
114,WOO Network,WOO,298876476.49327797,0.1815100897210349,1644562779,woo-network
123,Audius,AUDIO,268308875.64109707,0.2708306630254201,983958163,audius
120,MAGIC,MAGIC,259845459.58595717,1.2279619409096822,210583240,magic
