Date,Open,High,Low,Close,Adj Close,Volume
2020-01-13,1.500000,1.530000,1.500000,1.523000,1.523000,0
2020-01-20,1.513000,1.518000,1.490000,1.490000,1.490000,0
2020-01-27,1.485000,1.535000,1.483000,1.510000,1.510000,0
2020-02-03,1.513000,1.540000,1.513000,1.518000,1.518000,0
2020-02-10,1.515000,1.545000,1.510000,1.535000,1.535000,0
2020-02-17,1.535000,1.545000,1.513000,1.518000,1.518000,0
2020-02-24,1.498000,1.505000,1.230000,1.230000,1.230000,0
2020-03-02,1.090000,1.158000,0.325000,0.415000,0.415000,0
2020-03-09,0.235000,0.410000,0.155000,0.243000,0.243000,0
2020-03-16,0.130000,0.235000,-0.045000,-0.033000,-0.033000,0
2020-03-23,-0.030000,3.390000,-0.235000,-0.058000,-0.058000,0
2020-03-30,-0.043000,0.090000,-0.053000,0.058000,0.058000,0
2020-04-06,0.058000,0.215000,0.053000,0.210000,0.210000,0
2020-04-13,0.208000,0.260000,0.095000,0.103000,0.103000,0
2020-04-20,0.100000,0.110000,0.070000,0.100000,0.100000,0
2020-04-27,0.090000,0.103000,0.075000,0.093000,0.093000,0
2020-05-04,0.095000,0.110000,0.078000,0.095000,0.095000,0
2020-05-11,0.098000,0.123000,0.095000,0.103000,0.103000,0
2020-05-18,0.105000,0.120000,0.103000,0.110000,0.110000,0
2020-05-25,0.110000,0.140000,0.110000,0.128000,0.128000,0
2020-06-01,0.130000,0.148000,0.128000,0.145000,0.145000,0
2020-06-08,0.148000,0.168000,0.148000,0.150000,0.150000,0
2020-06-15,0.158000,0.165000,0.140000,0.143000,0.143000,0
2020-06-22,0.140000,0.145000,0.128000,0.133000,0.133000,0
2020-06-29,0.130000,0.138000,0.125000,0.133000,0.133000,0
2020-07-06,0.135000,0.143000,0.120000,0.120000,0.120000,0
2020-07-13,0.120000,0.133000,0.100000,0.105000,0.105000,0
2020-07-20,0.105000,0.115000,0.098000,0.098000,0.098000,0
2020-07-27,0.098000,0.105000,0.083000,0.083000,0.083000,0
2020-08-03,0.083000,0.095000,0.075000,0.088000,0.088000,0
2020-08-10,0.088000,0.103000,0.088000,0.088000,0.088000,0
2020-08-17,0.083000,0.100000,0.083000,0.088000,0.088000,0
2020-08-24,0.088000,0.095000,0.085000,0.095000,0.095000,0
2020-08-31,0.093000,0.105000,0.093000,0.103000,0.103000,0
2020-09-07,0.103000,0.110000,0.103000,0.103000,0.103000,0
2020-09-14,0.100000,0.105000,0.075000,0.083000,0.083000,0
2020-09-21,0.083000,0.093000,0.080000,0.090000,0.090000,0
2020-09-28,0.093000,0.093000,0.083000,0.085000,0.085000,0
2020-10-05,0.085000,0.095000,0.083000,0.093000,0.093000,0
2020-10-12,0.090000,0.100000,0.090000,0.090000,0.090000,0
