Rank,Name,Ticker,Market cap,Price,Circulating supply,id
52,OKB,OKB,1354655095.996364,4.92712156633031,60000000,okb
26,Aave,LEND,663881153.3501769,0.527235906811651,1299999942,ethlend
28,yearn.finance,YFI,658546567.5669473,22122.49738607027,29967,yearn-finance
24,UMA,UMA,652716878.9509987,11.91021689227316,54730192,uma
35,Synthetix Network Token,SNX,524682504.7232293,4.441556505428665,95749115,havven
34,Maker,MKR,461899044.3427322,511.2583697806083,1005577,maker
50,0x,ZRX,310721088.76856315,0.4281600488567855,720255196,0x
68,NXM,NXM,254065755.4981424,34.999285787684045,5413140,nxm
75,Band Protocol,BAND,170412657.46864742,8.10752480761038,20494033,band-protocol
84,Aragon,ANT,149893423.6981048,4.32684136202605,33142159,aragon
90,DFI.Money,YFII,142057591.06162593,3729.179262123963,38596,yfii-finance
91,Balancer,BAL,139016416.8654875,18.64287893003214,6943831,balancer
124,Celsius,CEL,133977667.9442422,0.3715677945342548,238863520,celsius-degree-token
122,Bytom,BTM,112965123.96893996,0.0698357911569587,1330546294,bytom
102,Reserve Rights,RSR,112253941.26569527,0.0165808703872099,6849999000,reserve-rights-token
95,Ocean Protocol,OCEAN,111778245.77546622,0.3249488775280567,359137273,ocean-protocol
119,Status,SNT,111220474.69797198,0.0286317380998275,3470483788,status
101,Serum,SRM,110146931.5639742,2.2100294842498167,50000000,serum
98,Swipe,SXP,109944795.8065029,1.6761154443781066,73166934,swipe
107,Decentraland,MANA,104983737.66023234,0.0790914122898141,1462913955,decentraland
125,DxChain Token,DX,93162016.37730937,0.0018597872654258,50000000000,dxchain
69,SushiSwap,SUSHI,90257064.98019524,1.933212420882297,67251185,sushi
147,Fantom,FTM,75140318.51560096,0.0304756327989857,2108191388,fantom
145,Divi,DIVI,69952135.45520562,0.0372085837424775,1880211930,divi
146,Matic Network,MATIC,68226544.13603233,0.0180343490808805,3783144256,matic-network
152,Nexo,NEXO,67524883.84640509,0.1204525394874536,560000011,nexo
136,Bancor,BNT,66571795.95724614,1.0119778391380347,69148529,bancor
139,Curve DAO Token,CRV,66271232.77453038,1.8971189142845637,36390517,curve-dao-token
157,SwissBorg,CHSB,64425506.11572202,0.0882341254921007,721742060,swissborg
162,Livepeer,LPT,59184786.96637324,2.67504805239919,20407975,livepeer
