Rank,Name,Ticker,Market cap,Price,Circulating supply,id
12,Polygon,MATIC,5705449961.976695,0.6137849203552015,9289469069,matic-network
24,Uniswap,UNI,3408510528.131619,4.521186781254822,577501036,uniswap
26,OKB,OKB,2506413525.6048684,41.78186796625303,60000000,okb
32,Lido DAO,LDO,1572421799.3057024,1.7876397051385509,879605590,lido-dao
36,Arbitrum,ARB,1267919758.8390014,0.9923239735731724,1275000000,arbitrum
41,The Graph,GRT,920692214.873432,0.10218689399230298,9051745361,the-graph
43,Rocket Pool,RPL,802945240.59644,41.221519532625805,19474470,rocket-pool
46,BitDAO,BIT,608766353.7231795,0.41852897975780323,1843669839,bitdao
47,ApeCoin,APE,777710861.8145347,2.108461945114195,368593750,apecoin
48,Aave,AAVE,737267093.4921072,51.061499944090926,14428625,aave
49,Fantom,FTM,765987202.7165235,0.27373789492512,2795533297,fantom
50,Render Token,RNDR,770012005.4908087,2.086918656277025,368852897,render-token
52,The Sandbox,SAND,723024636.8881534,0.38865872797175693,1859731926,the-sandbox
57,Maker,MKR,602500507.0196652,668.3376147990784,977631,maker
59,Decentraland,MANA,621998061.2096604,0.3408543031495044,1878271532,decentraland
60,Immutable,IMX,656346838.748433,0.6307875334760786,914163546,immutable-x
61,Axie Infinity,AXS,567063574.3934324,4.904200994064133,117297480,axie-infinity
65,Curve DAO Token,CRV,529062586.1657222,0.6195386367002357,854365422,curve-dao-token
67,Gala,GALA,567273152.6622165,0.02336620004355123,21624341073,gala
70,Injective,INJ,505252848.57596856,6.315147840493121,80005555,injective-protocol
73,Synthetix,SNX,594179669.4939826,1.8608931505977913,263066035,havven
77,XDC Network,XDC,450476634.5870008,0.03252356629643713,13843832118,xdce-crowd-sale
84,Frax Share,FXS,403177007.20954216,5.560168853088931,72410596,frax-share
91,Nexo,NEXO,338388864.7931545,0.6042719633831283,560000011,nexo
92,WOO Network,WOO,317866127.77522635,0.1858686125332724,1706289753,woo-network
93,PancakeSwap,CAKE,297643446.02693725,1.4256998121380973,208818119,pancakeswap-token
94,Mask Network,MASK,296821806.78445834,3.6129055338096228,82112500,mask-network
96,Gnosis,GNO,278151361.88060224,107.553420380578,2589588,gnosis
100,Convex Finance,CVX,264960396.01961097,3.395106293802274,78158353,convex-finance
103,dYdX,DYDX,277351409.24104947,1.6954257089235532,156256174,dydx
104,1inch Network,1INCH,257487163.68935996,0.2765455108341723,930699760,1inch
109,Blur,BLUR,244612471.18641138,0.35143661476852006,698395196,blur
113,Ethereum Name Service,ENS,202012285.09547755,7.8299478232628354,28620266,ethereum-name-service
114,Balancer,BAL,184434527.1559355,4.433507964305391,49920036,balancer
121,Ankr,ANKR,163764808.42630866,0.020075694423796447,10000000000,ankr
123,Ocean Protocol,OCEAN,144547057.9102157,0.3330691280094002,613099141,ocean-protocol
125,Solar,SXP,188243491.12863812,0.3313163840798353,568181311,swipe
127,yearn.finance,YFI,189775569.83369413,5746.751768644393,33014,yearn-finance
128,STEPN,GMT,191947659.98822796,0.20133231787355169,952322297,stepn
130,Audius,AUDIO,185633026.08608627,0.1764576624319139,1051967676,audius
