Rank,Name,Ticker,Market cap,Price,Circulating supply,id
1,Bitcoin,BTC,127716846208.31,6971.09,18320925,bitcoin
2,Ethereum,ETH,17805206567.59,161.14,110493603,ethereum
3,XRP,XRP,8361929949.12,0.1901,43978966311,ripple
4,Tether,USDT,6412993320.45,1.0082,6361032509,tether
5,Bitcoin Cash,BCH,4333473010.43,235.79,18378375,bitcoin-cash
6,Bitcoin SV,BSV,3546256467.21,192.97,18377202,bsv
7,Litecoin,LTC,2737892510.36,42.45,64496445,litecoin
8,EOS,EOS,2335554643.45,2.5339,921737493,eos
9,Binance Coin,BNB,2235857452.23,14.38,155536713,binancecoin
10,Tezos,XTZ,1423197304.74,2.0136,706775994,tezos
11,TAGZ5,TAGZ5,1394892352.51,3.6157,385792386,
12,Chainlink,LINK,1211914054.95,3.4626,350000000,chainlink
13,UNUS SED LEO,LEO,1023562556.81,1.0241,999498893,leo-token
14,Stellar,XLM,1003951385.2,0.04944,20306069473,stellar
15,Monero,XMR,945794928.89,53.98,17520585,monero
16,Cardano,ADA,876484999.53,0.03381,25927070538,cardano
17,TRON,TRX,860322761.26,0.0129,66682072191,tron
18,Huobi Token,HT,854947262.98,3.778,226294793,huobi-token
19,MINDOL,MIN,723374658.64,4.2476,170303676,mindol
20,Crypto.com Coin,CRO,717779628.16,0.05044,14231050228,crypto-com-chain
21,Dash,DASH,708585880.27,75.09,9435891,dash
22,USD Coin,USDC,705426851.31,1.0041,702570724,usd-coin
23,Ethereum Classic,ETC,621405310.24,5.3425,116313299,ethereum-classic
24,Neo,NEO,525231398.15,7.446,70538831,neo
25,HedgeTrade,HEDG,520282363.44,1.8052,288208798,hedgetrade
26,IOTA,MIOTA,451979695.54,0.1626,2779530283,iota
27,Cosmos,ATOM,444727039.57,2.3322,190688439,cosmos
28,Zcash,ZEC,361488358.17,36.85,9809006,zcash
29,NEM,XEM,331491600.37,0.03683,8999999999,nem
30,Maker,MKR,303544574.07,301.78,1005851,maker
31,INO COIN,INO,293789464.98,1.6321,180003180,
32,OKB,OKB,276203173.56,4.6034,60000000,okb
33,Ontology,ONT,264909671.33,0.4068,651246573,ontology
34,Dogecoin,DOGE,247017402.66,0.00199,124123310347,dogecoin
35,Paxos Standard,PAX,246981175.81,1.0083,244951954,
36,FTX Token,FTT,246396811.83,2.5781,95573345,ftx-token
37,Basic Attention Token,BAT,235893102.97,0.1618,1457492564,basic-attention-token
38,VeChain,VET,206840780.96,0.00373,55454734800,vechain
39,PlayFuel,PLF,196712261.74,0.3934,500000000,
40,Elamachain,ELAMA,190928402.28,0.3374,565933389,
41,Binance USD,BUSD,190124679.3,1.0089,188455685,binance-usd
42,MineBee,MB,189605578.97,0.1036,1830117455,milk-and-butter
43,Bitcoin Gold,BTG,179321553.05,10.24,17513924,bitcoin-gold
44,MimbleWimbleCoin,MWC,153508082.91,19.19,8000580,mimblewimblecoin
45,TrueUSD,TUSD,137685165.08,1.0069,136738846,true-usd
46,Qtum,QTUM,132920172.95,1.3771,96523436,qtum
47,Decred,DCR,130549558.17,12.1,10786831,decred
48,Hedera Hashgraph,HBAR,130274470.59,0.03355,3883449291,hedera-hashgraph
49,ICON,ICX,125682699.28,0.2353,534087206,icon
50,Synthetix Network Token,SNX,125576623.31,0.7055,178002639,havven
51,Algorand,ALGO,121924785.92,0.1806,674984535,algorand
52,Lisk,LSK,121527683.46,0.9879,123019493,lisk
