Rank,Name,Ticker,Market cap,Price,Circulating supply
1,Bitcoin,BTC,564864625278.2,29041.86,19450018
2,Ethereum,ETH,219593479527.48,1827.46,120163084
3,Tether USDt,USDT,83766798747.7,0.9984,83902576267
4,BNB,BNB,37355531392.32,242.8,153853985
5,XRP,XRP,32862411390.46,0.6231,52741286353
6,USD Coin,USDC,26040633408.95,0.9998,26045397905
7,Dogecoin,DOGE,10433167188.76,0.07427,140484256384
8,Cardano,ADA,10229109437.43,0.2921,35021373310
9,Solana,SOL,9392351696.13,23.19,405092509
10,TRON,TRX,6881851198.68,0.07685,89550963678
11,Polygon,MATIC,6213100502.69,0.6667,9319469069
12,Polkadot,DOT,6062110840.79,4.9982,1212866778
13,Litecoin,LTC,6062711119.25,82.47,73512620
14,Shiba Inu,SHIB,5521896059.76,9.37e-06,589346914631298
15,Wrapped Bitcoin,WBTC,4710153848.33,29038.19,162205
16,Dai,DAI,4500655953.04,0.9994,4503158368
17,Avalanche,AVAX,4354309777.72,12.57,346338359
18,Bitcoin Cash,BCH,4333112201.32,222.56,19469106
19,Toncoin,TON,4131907414.45,1.204,3431892088
20,Chainlink,LINK,3821475331.34,7.1018,538099970
21,Stellar,XLM,3804891653.19,0.1391,27347753779
22,UNUS SED LEO,LEO,3713700886.49,3.9946,929691107
23,Uniswap,UNI,3435754992.66,5.9493,577501036
24,Binance USD,BUSD,3415751900.81,0.9996,3417043857
25,TrueUSD,TUSD,2963106541.27,0.9993,2965074779
26,Cosmos,ATOM,2937804296.27,8.4759,346608690
27,Monero,XMR,2923587079.49,159.63,18315022
28,OKB,OKB,2698181423.09,44.97,60000000
29,Ethereum Classic,ETC,2535643079.61,17.81,142359776
30,Hedera,HBAR,1868327434.89,0.05738,32559526344
31,Filecoin,FIL,1823639025.69,4.1548,438922596
32,Internet Computer,ICP,1815081240.78,4.1175,440819570
33,Mantle,MNT,1650954247.6,0.5105,3234268325
34,Lido DAO,LDO,1607402910.42,1.8291,878817321
35,Aptos,APT,1473843436.3,6.7171,219415381
36,Cronos,CRO,1471176573.27,0.05823,25263013692
37,Arbitrum,ARB,1449158961.39,1.1366,1275000000
