Rank,Name,Ticker,Market cap,Price,Circulating supply
100,Flare,FLR,315234343.61,0.01509,20894536622
101,1inch Network,1INCH,316661322.19,0.3077,1029238208
102,Basic Attention Token,BAT,315503108.78,0.2118,1489852087
103,PancakeSwap,CAKE,314272237.73,1.4713,213600243
104,WOO Network,WOO,315058272.55,0.1817,1733548819
105,Loopring,LRC,295310224.19,0.2218,1331547705
106,Enjin Coin,ENJ,291724755.29,0.2917,1000000000
107,Gnosis,GNO,286476574.21,110.63,2589588
108,Mask Network,MASK,283188703.81,3.4488,82112500
109,MX TOKEN,MX,281149033.55,2.8115,100000000
110,Oasis Network,ROSE,270626239.7,0.04727,5725718533
111,Qtum,QTUM,268794066.97,2.5659,104755842
112,Astar,ASTR,266264989.11,0.05896,4516086605
113,Helium,HNT,266061911.69,1.8485,143934821
114,NEM,XEM,266363413.87,0.0296,8999999999
115,Ethereum Name Service,ENS,264374886.6,8.9887,29411826
116,SingularityNET,AGIX,263684961.88,0.2149,1227214306
117,Bitcoin Gold,BTG,257928473.31,14.73,17513924
118,Celo,CELO,256228462.9,0.5039,508448178
119,Chia,XCH,250228141.15,30.64,8166789
120,Convex Finance,CVX,248876962.4,3.1256,79624350
121,Theta Fuel,TFUEL,248415512.97,0.03979,6243406238
122,Ankr,ANKR,241218969.92,0.02412,10000000000
123,Blur,BLUR,239733978.35,0.285,841081985
124,Ravencoin,RVN,230669679.39,0.01794,12856566880
125,Decred,DCR,225760187.8,14.65,15408148
126,STEPN,GMT,224236063.56,0.2051,1093372169
127,Osmosis,OSMO,223031928.58,0.4528,492590761
128,SafePal,SFP,222615333.95,0.4452,500000000
129,Worldcoin,WLD,221144808.97,1.7694,124979936
130,Holo,HOT,218954637.32,0.001274,171827466862
131,Balancer,BAL,217697008.44,4.2243,51533986
132,FLOKI,FLOKI,216931900.9,2.299e-05,9434902645496
133,Waves,WAVES,213564220.3,1.9032,112210516
134,Audius,AUDIO,210891462.04,0.1906,1106620023
135,Threshold,T,208854184.83,0.02345,8906248017
136,Ocean Protocol,OCEAN,208103477.8,0.3394,613099141
