Rank,Name,Ticker,Market cap,Price,Circulating supply,id
1,Bitcoin,BTC,543037803329.78,28038.67,19367456,bitcoin
2,Ethereum,ETH,214867193142.62,1785.58,120334908,ethereum
3,Tether,USDT,82335299514.0,1.003,82088431876,tether
4,BNB,BNB,52521837603.03,336.98,155861219,binancecoin
5,USD Coin,USDC,30228148676.05,0.9998,30232837502,usd-coin
6,XRP,XRP,20137168434.09,0.3885,51837820505,ripple
7,Cardano,ADA,12052777429.8,0.346,34833643626,cardano
8,Polygon,MATIC,10812234016.12,1.169,9249469069,matic-network
9,Dogecoin,DOGE,10418543821.66,0.07481,139261436384,dogecoin
10,Solana,SOL,8649436639.18,21.9,394890078,solana
11,Polkadot,DOT,7646013492.3,6.4702,1181735764,polkadot
12,Shiba Inu,SHIB,6457107192.84,1.095e-05,589539336573628,shiba-inu
13,Litecoin,LTC,6153284025.11,84.44,72875039,litecoin
14,TRON,TRX,6043989484.54,0.06677,90521428769,tron
15,Binance USD,BUSD,5965591485.49,0.9999,5965614740,binance-usd
16,Avalanche,AVAX,5807479460.0,17.56,330663570,avalanche-2
17,Dai,DAI,4875239633.39,0.9983,4883499805,dai
18,Wrapped Bitcoin,WBTC,4327549480.34,28008.15,154510,wrapped-bitcoin
19,Uniswap,UNI,3758766204.07,6.5087,577501036,uniswap
20,Chainlink,LINK,3672773154.31,7.1026,517099970,chainlink
21,Cosmos,ATOM,3535622462.39,12.35,286370297,cosmos
22,UNUS SED LEO,LEO,3135911388.56,3.3704,930428073,leo-token
23,Ethereum Classic,ETC,2977666451.73,21.14,140830356,ethereum-classic
24,Toncoin,TON,2925595829.27,2.3953,1221401181,tontoken
25,OKB,OKB,2891757612.6,48.2,60000000,okb
26,Monero,XMR,2808881617.14,153.69,18276050,monero
27,Filecoin,FIL,2656013153.93,6.2881,422384437,filecoin
28,Bitcoin Cash,BCH,2638819321.05,136.13,19385125,bitcoin-cash
29,Aptos,APT,2484445550.36,13.04,190573259,apidae
30,Internet Computer,ICP,2366315135.36,5.4288,435882828,internet-computer
31,Stellar,XLM,2354760439.67,0.08793,26780057226,stellar
32,TrueUSD,TUSD,2206814877.06,0.999,2209072913,true-usd
33,Lido DAO,LDO,2185700314.48,2.4874,878700485,lido-dao
