Rank,Name,Ticker,Market cap,Price,Circulating supply,id
13,Uniswap,UNI,10639247156.097713,20.460067083643683,311687012,uniswap
17,Aave,AAVE,4294160459.3006353,335.24114532048526,12418101,aave
36,Synthetix,SNX,2308341540.635058,14.919646509096712,114841533,havven
38,The Graph,GRT,969355613.2760755,0.7922738575798308,1245666867,the-graph
39,Maker,MKR,2515799912.053276,2781.301117882075,995239,maker
42,SushiSwap,SUSHI,1878303639.8401265,11.090384263645644,127244443,sushi
52,PancakeSwap,CAKE,2621029099.5073724,15.257028470900945,125814400,pancakeswap-token
54,Polygon,MATIC,7396022257.381994,1.1999327819551722,4966397110,matic-network
55,Nexo,NEXO,1048069201.2714099,1.8679324999962188,560000011,nexo
57,yearn.finance,YFI,1397513746.313507,38642.087692231755,36635,yearn-finance
58,Celsius,CEL,2521936193.9285836,6.584505086744916,238863520,celsius-degree-token
59,UMA,UMA,826193448.5948706,13.620435095735608,56098135,uma
61,Fantom,FTM,752227938.097165,0.2935826503567624,2545006273,fantom
65,OKB,OKB,3665335554.665853,13.601836012181739,60000000,okb
67,0x,ZRX,808354403.0671201,0.9608725985428789,750306451,0x
70,SwissBorg,CHSB,694432413.3097268,0.7283768327414172,939211037,swissborg
80,Bancor,BNT,853257139.3153002,4.2855797968387535,140515805,bancor
86,1inch,1INCH,458296545.147353,2.7307390797104216,143867343,1inch
87,Reserve Rights,RSR,465222440.4655014,0.03516438209109725,9349999000,reserve-rights-token
97,Curve DAO Token,CRV,609059095.626885,1.6372249557337435,233099150,curve-dao-token
100,Decentraland,MANA,1005258910.950597,0.75721469323588,1574538749,decentraland
103,DODO,DODO,171571013.85319275,1.3704780715138603,98181770,dodo
104,Ocean Protocol,OCEAN,253431073.23062184,0.593920093780067,419026837,ocean-protocol
114,Status,SNT,418502562.1357907,0.10784803776182933,3470483788,status
118,Serum,SRM,241257507.84109396,4.8303170082629565,50000000,serum
119,Band Protocol,BAND,282522057.3241397,8.034739461345236,20494033,band-protocol
121,Balancer,BAL,325639130.2004772,30.12318493071944,6943831,balancer
129,Injective Protocol,INJ,257827488.08843893,9.577168589548775,15664661,injective-protocol
130,Polymath,POLY,223738626.0779545,0.29719625768031105,595008568,polymath
133,Fetch.ai,FET,171295282.44629785,0.24883849466342292,746113681,fetch-ai
134,Gnosis,GNO,233993269.27529088,154.57163128353784,1504587,gnosis
135,ZB Token,ZB,39746845.42276597,0.35968211733850214,463288810,zb-token
139,Swipe,SXP,173786300.5686549,2.0101574667933018,85736975,swipe
140,Ankr,ANKR,788655167.9407029,0.11293304673702356,6496232711,ankr
151,Aragon,ANT,137185187.49218225,3.9093245662490985,39609523,aragon
153,Unibright,UBT,181090334.0950344,1.2041876409470589,149999999,unibright
154,saffron.finance,SFI,31075886.33339789,388.68463634180046,77796,saffron-finance
158,Stratis,STRAX,155709637.68028557,1.5559375118981995,128719682,stratis
167,aelf,ELF,136725689.76246315,0.2834662746976037,544480200,aelf
168,Hifi Finance,MFT,114897343.07385802,0.01242722933040351,10000000000,mainframe
178,Unifi Protocol DAO,UNFI,19299898.205600947,7.8627105008628035,3296667,unifi-protocol-dao
184,Bytom,BTM,145116873.81204996,0.08616849818010056,1412142382,bytom
190,Wootrade,WOO,205423473.14958617,0.4633373696099819,375777921,woo-network
195,Populous,PPT,96957463.7977296,2.6699999703708617,53252246,populous
198,Phala Network,PHA,127243612.0559436,0.709343518415157,147623146,pha
199,Badger DAO,BADGER,115402535.14676523,13.784211986465339,2318032,badger-dao
210,XinFin Network,XDC,665441751.6482096,0.05412730787281144,12248308915,xdce-crowd-sale
215,NXM,NXM,617832633.475789,89.77558712915489,6372806,nxm
224,Orion Protocol,ORN,191931118.08389866,7.488461607816935,20530000,orion-protocol
231,Gala,GALA,88500554.49155058,0.011529069887895364,6977205436,gala
232,ZKSwap,ZKS,196453291.132878,0.8739887516791863,80000000,zkspace
238,Mirror Protocol,MIR,313066149.33722776,4.643023843285207,38815971,mirror-protocol
247,The Sandbox,SAND,306374837.026102,0.46680265201487425,668256277,the-sandbox
265,NFTX,NFTX,27902872.166846693,66.38241246641294,441900,nftx
266,Perpetual Protocol,PERP,219865369.38868308,10.285202960465835,21795505,perpetual-protocol
271,WHALE,WHALE,69330579.69325109,12.299046629619871,5050683,whale
278,Reef,REEF,317912373.3074567,0.02508178434636839,3026721973,reef
279,Livepeer,LPT,412210419.41693676,17.41926401993052,21164655,livepeer
284,AdEx Network,ADX,117197425.53677443,0.9760919161823547,114360752,adex
286,Origin Protocol,OGN,145980956.5320677,0.687181608061782,242251929,origin-protocol
291,QuarkChain,QKC,147321020.49317566,0.0230472504703979,6399906497,quark-chain
292,Akropolis,AKRO,55385038.73972525,0.020332362291265168,2625709236,akropolis
293,Rocket Pool,RPL,226783424.48848522,14.000427149988935,10279742,rocket-pool
300,Mask Network,MASK,92983879.87604485,7.276676504729848,9000000,mask-network
306,Request,REQ,60044323.76895337,0.07819823461048718,999912165,request-network
307,DFI.Money,YFII,71322222.03866595,1798.7932558685898,38596,yfii-finance
308,BarnBridge,BOND,81006318.42749949,32.3430455344503,1503550,barnbridge
315,Wrapped NXM,WNXM,130746163.40962897,64.91059640064331,1676964,wrapped-nxm
322,Rari Governance Token,RGT,50967081.86395778,5.837127547773187,8684107,rari-governance-token
326,Divi,DIVI,125468332.41353452,0.05424109772824784,2172652762,divi
337,Orbs,ORBS,224535794.5735699,0.10727887252234881,2229950518,orbs
342,Tornado Cash,TORN,26863553.829853233,39.98870055821092,317302,tornado-cash
345,Beefy.Finance,BIFI,3787660.410721477,0.03554078744830917,72000,bifi
355,Axie Infinity,AXS,218118637.06132174,3.945566102984958,42182729,axie-infinity
359,DIA,DIA,70686742.4535392,1.701202494223711,28271916,dia-data
366,Frax Share,FXS,35309287.00617193,2.624007148225729,7248177,frax-share
381,Enzyme,MLN,80121519.82294457,59.89600236107118,1477122,melon
383,DAO Maker,DAO,113021476.66276234,3.137522812925258,16400000,dao-maker
384,API3,API3,96065928.20057574,4.197569052146386,13847549,api3
386,BoringDAO,BOR,28749417.02374698,315.11628422765557,79724,boringdao-[old]
